,RUC,Company_Name,DESCRIPTION_CIIU,CIIU,District,UBIGEO,Sector,PERIOD,PUBLICATION_DATE
59,20605726713,SUPREME FRUITS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN JUAN DE MIRAFLORES,150133,MANUFACTURA,2021,2023-06-26
60,20537250071,FROZEN FOODS SOCIEDAD ANONIMA CERRADA - FROZEN FOODS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
61,20430301595,EXANDAL S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
62,20545376033,COLOREXA SOCIEDAD ANONIMA CERRADA,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
67,20566558590,PACHAMAMA FARMS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
68,20477793674,QUICORNAC S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
71,20552349815,INVERSIONES AGRICOLAS OLMOS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
74,20601117526,A & G INDUSTRIAS PERUANA S.A.C.,ELAB. DE ACEITE Y GRASAS.,1514,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
75,20601041619,GRUPO LA PATRONA S.A.C.,ELAB. DE ACEITE Y GRASAS.,1514,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
78,20550825539,CAMAR PERU SAC,ELAB. DE ACEITE Y GRASAS.,1514,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
79,20512020667,SOCIEDAD DE INDUSTRIAS OLEAGINOSAS SOCIEDAD ANONIMA CERRADA,ELAB. DE ACEITE Y GRASAS.,1514,LOS OLIVOS,150117,MANUFACTURA,2021,2023-06-26
80,20546128424,DSM MARINE LIPIDS PERU S.A.C.,ELAB. DE ACEITE Y GRASAS.,1514,LURIN,150119,MANUFACTURA,2021,2023-06-26
83,20100376203,AGROINDUSTRIAS INTEGRADAS S A,ELAB. DE ACEITE Y GRASAS.,1514,LOS OLIVOS,150117,MANUFACTURA,2021,2023-06-26
85,20514784796,COMPAIA INDUSTRIAL MONTESOL SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA - COMPAIA INDUSTRIAL MO,ELAB. DE ACEITE Y GRASAS.,1514,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
87,20344552364,PRODUCTORA DE ALIMENTOS UNO S.A.C.,ELAB DE PRODUCTOS LACTEOS.,1520,ATE,150103,MANUFACTURA,2021,2023-06-26
89,20600010311,LEITECORP S.A.C.,ELAB DE PRODUCTOS LACTEOS.,1520,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
96,20505846665,PANIFICADORA A & A S.A.C,ELAB. PROD. DE PANADERIA.,1541,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
97,20604712115,HOLDING ALIMENTARIO ANDINO SOCIEDAD ANONIMA CERRADA,ELAB. PROD. DE PANADERIA.,1541,LOS OLIVOS,150117,MANUFACTURA,2021,2023-06-26
98,20602454356,PRODUCTOS ALIMENTICIOS NUTRI FAR E.I.R.L.,ELAB. PROD. DE PANADERIA.,1541,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
99,20100654611,SANTA VERENA S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,ATE,150103,MANUFACTURA,2021,2023-06-26
100,20602492541,FRIGOINCA SOCIEDAD ANONIMA CERRADA - FRIGOINCA S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
101,20100067910,BRAEDT S.A.  BRSA,PRODUC. CARNE Y PROD. CARNICOS.,1511,ATE,150103,MANUFACTURA,2021,2023-06-26
102,20606454164,CORPORACION CAMPA E.I.R.L.,PRODUC. CARNE Y PROD. CARNICOS.,1511,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
104,20515327321,BHG CORP. SOCIEDAD ANONIMA CERRADA - BHG CORP. S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,ATE,150103,MANUFACTURA,2021,2023-06-26
106,20100058503,PURATOS PERU S.A.,ELAB. DE PRODUCTOS DE MOLINERIA.,1531,LURIN,150119,MANUFACTURA,2021,2023-06-26
107,20502435672,SILVATEAM PERU S.A.C.,ELAB. DE PRODUCTOS DE MOLINERIA.,1531,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
108,20100035121,MOLITALIA S.A,ELAB. DE PRODUCTOS DE MOLINERIA.,1531,LIMA,150101,MANUFACTURA,2021,2023-06-26
110,20419757331,COGORNO S.A. EN LIQUIDACION,ELAB. DE PRODUCTOS DE MOLINERIA.,1531,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
111,20514449814,PODER PANADERO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,ELAB. DE PRODUCTOS DE MOLINERIA.,1531,SAN LUIS,150134,MANUFACTURA,2021,2023-06-26
113,20603432712,ORGANIC FOOD COMPANY E.I.R.L.,ELAB. PROD. DE PANADERIA.,1541,LOS OLIVOS,150117,MANUFACTURA,2021,2023-06-26
115,20606509066,EUROPAN S.A.C,ELAB. PROD. DE PANADERIA.,1541,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
116,20101094007,PRODUCTOS EL CEDRO S.A.C.,ELAB. PROD. DE PANADERIA.,1541,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
117,20602637957,GRUPO SOAN S.A.C.,ELAB. PROD. DE PANADERIA.,1541,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
119,20209762251,T & C REPRESENTACIONES S R LTDA,ELAB. PROD. DE PANADERIA.,1541,PACHACAMAC,150123,MANUFACTURA,2021,2023-06-26
120,20505837755,PANIFICADORA TORRES S.A.C.,ELAB. PROD. DE PANADERIA.,1541,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
133,20100164010,MONDELEZ PERU S.A.,ELAB. CACAO CHOCOLATE Y CONFIT.,1543,LIMA,150101,MANUFACTURA,2021,2023-06-26
134,20473159644,CAFETALERA AMAZONICA S.A.C.,ELAB. CACAO CHOCOLATE Y CONFIT.,1543,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
135,20500985322,MACHU PICCHU FOODS S.A.C.,ELAB. CACAO CHOCOLATE Y CONFIT.,1543,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
136,20535645346,SUMAQAO SOCIEDAD ANONIMA CERRADA,ELAB. CACAO CHOCOLATE Y CONFIT.,1543,LURIN,150119,MANUFACTURA,2021,2023-06-26
137,20602655599,ORGANIC AROMA COCOA PERU S.A.C. - AROMACO PERU S.A.C.,ELAB. CACAO CHOCOLATE Y CONFIT.,1543,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
138,20600657691,COMIDAS GOURMET S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,LA MOLINA,150114,MANUFACTURA,2021,2023-06-26
139,20546446710,CONSERVERA SAN LUCAS SOCIEDAD ANONIMA CERRADA - CONSERVERA SAN LUCAS S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,PUEBLO LIBRE,150121,MANUFACTURA,2021,2023-06-26
140,20100085063,AJINOMOTO DEL PERU S A,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
141,20600517270,INDELPAS S.A.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,ATE,150103,MANUFACTURA,2021,2023-06-26
142,20522445445,PREMEZCLAS LATINOAMERICANAS S.A.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,LURIN,150119,MANUFACTURA,2021,2023-06-26
144,20344506842,OVOSUR S.A.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
146,20381379648,TEJIDOS SAN JACINTO S.A.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
147,20102310781,INDUSTRIAL PANDA S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SANTA ANITA,150137,MANUFACTURA,2021,2023-06-26
148,20472498305,IDEAS TEXTILES S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,EL AGUSTINO,150111,MANUFACTURA,2021,2023-06-26
150,20601509513,GRUPO INDUSTRIAL SAN IGNACIO SOCIEDAD ANONIMA CERRADA - GRUPO SAN IGNACIO S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
151,20554912321,JANTEX S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
152,20523433050,ACRICORP S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,ATE,150103,MANUFACTURA,2021,2023-06-26
153,20101298770,HILADOS ACRILICOS SAN JUAN SOCIEDAD ANONIMA CERRADA,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
154,20340319169,CO ESTRELLA DEL PER SOCIEDAD ANONIMA CERRADA,PREP Y TEJ DE FIBRAS TEXTILES.,1711,LIMA,150101,MANUFACTURA,2021,2023-06-26
155,20606568992,AGROINDUSTRIA AFRODITA E.I.R.L.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,CHACLACAYO,150107,MANUFACTURA,2021,2023-06-26
157,20100267846,COMPAIA INDUSTRIAL ROMOSA SAC,PREP Y TEJ DE FIBRAS TEXTILES.,1711,LIMA,150101,MANUFACTURA,2021,2023-06-26
158,20378092419,FILASUR S.A.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
159,20100737826,EMPRESA ALGODONERA S A,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
160,20522907911,YMB INDUSTRIAS E.I.R.L.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
161,20259247463,FABRITRADE S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,PACHACAMAC,150123,MANUFACTURA,2021,2023-06-26
163,20507849165,INCA FASHION SAC,PREP Y TEJ DE FIBRAS TEXTILES.,1711,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
164,20517336492,FABRICA DE TEJIDOS PISCO S.A.C.,PREP Y TEJ DE FIBRAS TEXTILES.,1711,LINCE,150116,MANUFACTURA,2021,2023-06-26
166,20268911082,CONSORCIO LA PARCELA S.A,ACABADO DE PROD. TEXTILES.,1712,ATE,150103,MANUFACTURA,2021,2023-06-26
167,20509881040,MANAGEMENT BUSINESS CONSULTING S.A.C,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
168,20513081236,FUXION BIOTECH S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
170,20603091443,CAAS ALIMENTOS S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
172,20516313821,AGRO ALIMENTOS ANDINOS S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
173,20509438448,NEGRISA S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,PUENTE PIEDRA,150125,MANUFACTURA,2021,2023-06-26
174,20102179898,BAKELS PERU S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,ATE,150103,MANUFACTURA,2021,2023-06-26
175,20504187587,ALIMENTOS DE EXPORTACION SOCIEDAD ANONIMA CERRADA - ALIEX S.A.C.,ELAB DE OTROS PROD. ALIMENTICIOS.,1549,LURIN,150119,MANUFACTURA,2021,2023-06-26
176,20100617332,RINTI S A,ELAB. DE PIENSOS PREPARADOS.,1533,ATE,150103,MANUFACTURA,2021,2023-06-26
177,20100166578,AGRIBRANDS PURINA PERU S.A.,ELAB. DE PIENSOS PREPARADOS.,1533,INDEPENDENCIA,150112,MANUFACTURA,2021,2023-06-26
179,20516775361,BEDOCE PERU S.A.C.,ELAB. DE PIENSOS PREPARADOS.,1533,PUNTA HERMOSA,150126,MANUFACTURA,2021,2023-06-26
181,20605524126,LIMBA SERVICES S.A.C.,ELAB. DE BEBIDAS MALTEADAS.,1553,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
182,20101024645,CORPORACION LINDLEY S.A.,ELAB. DE BEBIDAS NO ALCOHOLICAS.,1554,LA MOLINA,150114,MANUFACTURA,2021,2023-06-26
184,20331061655,AJEPER S.A.,ELAB. DE BEBIDAS NO ALCOHOLICAS.,1554,LURIGANCHO,150118,MANUFACTURA,2021,2023-06-26
185,20506223394,PROCESADORA CATALINA SOCIEDAD ANONIMA CERRADA,ELAB. DE BEBIDAS NO ALCOHOLICAS.,1554,ATE,150103,MANUFACTURA,2021,2023-06-26
186,20553525773,JORDAMULTICOLOR SOCIEDAD ANONIMA CERRADA,ACABADO DE PROD. TEXTILES.,1712,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
187,20537035936,INDUSTRIAS PASSION S.A.C.,FAB. ART. CONFECCIONADOS.,1721,PACHACAMAC,150123,MANUFACTURA,2021,2023-06-26
188,20603881177,FERRO SAFETY PRODUCTS S.A.C. - FERSAPRO S.A.C.,FAB. ART. CONFECCIONADOS.,1721,SAN ISIDRO,150131,MANUFACTURA,2021,2023-06-26
189,20517932346,TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUBERIAS Y GEOS S.A,FAB. OTROS PROD. TEXTILES NEOP.,1729,ATE,150103,MANUFACTURA,2021,2023-06-26
192,20601970849,CORPORACION CARNICA S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
195,20513864184,TECHNOFEED SOCIEDAD ANONIMA CERRADA,PRODUC. CARNE Y PROD. CARNICOS.,1511,LIMA,150101,MANUFACTURA,2021,2023-06-26
197,20159475191,INVERSIONES PECUARIAS LURIN S A,PRODUC. CARNE Y PROD. CARNICOS.,1511,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
199,20600251873,BALIAN S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,EL AGUSTINO,150111,MANUFACTURA,2021,2023-06-26
200,20600145402,CARNICON PREMIUM S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,SAN MARTIN DE PORRES,150135,MANUFACTURA,2021,2023-06-26
201,20563407426,CERDOS SUR PER S.A. - CERSUR S.A.,PRODUC. CARNE Y PROD. CARNICOS.,1511,CHORRILLOS,150108,MANUFACTURA,2021,2023-06-26
202,20503727405,OREGON FOODS S.A.C.,PRODUC. CARNE Y PROD. CARNICOS.,1511,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
204,20100171229,PROCESADORA DE ALIMENTOS TI-CAY S.R.L.,PRODUC. CARNE Y PROD. CARNICOS.,1511,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
206,20508740361,CONSORCIO TEXTIL VIANNY S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
207,20551331661,TSONKIRI SOCIEDAD ANONIMA CERRADA-TSONKIRI S.A.C,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
208,20384759166,TEXPIMA S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,SAN LUIS,150134,MANUFACTURA,2021,2023-06-26
209,20512134590,BRUMODA S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
210,20512035427,TECNOLOGIA & TINTURA TEXTIL S.A.C,FAB. DE PRENDAS DE VESTIR.,1810,LIMA,150101,MANUFACTURA,2021,2023-06-26
211,20374343964,CORPORACION WAMA S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,LIMA,150101,MANUFACTURA,2021,2023-06-26
212,20102309180,REPRIND S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
215,20511643695,PROPEMAR PERU S.A.C,ELAB. Y CONS DE PESCADO.,1512,JESUS MARIA,150113,MANUFACTURA,2021,2023-06-26
216,20602721231,MARFREEZE S.A.C.,ELAB. Y CONS DE PESCADO.,1512,LA MOLINA,150114,MANUFACTURA,2021,2023-06-26
217,20556928313,KSL S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SAN BORJA,150130,MANUFACTURA,2021,2023-06-26
218,20305673669,PACIFIC FREEZING COMPANY S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
219,20484161365,INDUSTRIAS BIOACUATICAS TALARA S.A.C,ELAB. Y CONS DE PESCADO.,1512,LOS OLIVOS,150117,MANUFACTURA,2021,2023-06-26
221,20566327865,CONSORCIO INDUSTRIAL SUR PERU S.A.C.,ELAB. Y CONS DE PESCADO.,1512,MAGDALENA DEL MAR,150120,MANUFACTURA,2021,2023-06-26
223,20604813876,GIGAS PACIFIC S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
224,20504729908,FROZEN PRODUCTS CORPORATION SOCIEDAD ANONIMA CERRADA,ELAB. Y CONS DE PESCADO.,1512,SAN MIGUEL,150136,MANUFACTURA,2021,2023-06-26
227,20509468606,MAI SHI GROUP S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
229,20511209146,CANTARANA S.A.C.,ELAB. Y CONS DE PESCADO.,1512,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
230,20445781313,PESQUERA MIGUEL ANGEL S.A.C.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
233,20206228815,PERUVIAN SEA FOOD S.A.,ELAB. Y CONS DE PESCADO.,1512,SANTIAGO DE SURCO,150140,MANUFACTURA,2021,2023-06-26
234,20509864897,TEXTIL VIVANCO GARCIA EIRL,ACABADO DE PROD. TEXTILES.,1712,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
235,20430829816,TRANSFORMACIONES MULTIPLES S.A.C.,ACABADO DE PROD. TEXTILES.,1712,LIMA,150101,MANUFACTURA,2021,2023-06-26
236,20266539321,RUDOLF REIMSAC SOCIEDAD ANONIMA CERRADA,ACABADO DE PROD. TEXTILES.,1712,LIMA,150101,MANUFACTURA,2021,2023-06-26
237,20600526121,CORPORACION TEXTIL MONTALVAN S.A.C.,FAB. OTROS PROD. TEXTILES NEOP.,1729,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
238,20604227390,SERVICIOS GENERALES JR & CO E.I.R.L.,FAB. OTROS PROD. TEXTILES NEOP.,1729,SAN JUAN DE LURIGANCHO,150132,MANUFACTURA,2021,2023-06-26
239,20524608082,TEXTILES AJAMERLY'S S.A.C.,FAB. OTROS PROD. TEXTILES NEOP.,1729,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
240,20100064571,INDUSTRIAS NETTALCO S.A.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
241,20602413897,BRANDINT SOCIEDAD ANONIMA CERRADA - BRANDINT S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
242,20546854834,NAZCA TEX S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
243,20600968981,PROYECTOS E INVERSIONES MONTANO E.I.R.L.,FAB. DE PRENDAS DE VESTIR.,1810,LA VICTORIA,150115,MANUFACTURA,2021,2023-06-26
244,20546183107,CONSORCIO ALTA MODA S.R.L.,FAB. DE PRENDAS DE VESTIR.,1810,SAN LUIS,150134,MANUFACTURA,2021,2023-06-26
245,20102089635,LIVES S.A.C,FAB. DE PRENDAS DE VESTIR.,1810,BARRANCO,150104,MANUFACTURA,2021,2023-06-26
246,20602664091,1010 S.A.C.,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
247,20538433790,ABUCORP PERU SAC,FAB. DE PRENDAS DE VESTIR.,1810,ATE,150103,MANUFACTURA,2021,2023-06-26
249,20565443993,FUSION FOODS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,LIMA,150101,MANUFACTURA,2021,2023-06-26
250,20556450600,AGROEXPORTADORA SOL DE OLMOS S.A.C.,ELAB. FRUTAS LEG. Y HORTALIZAS.,1513,MIRAFLORES,150122,MANUFACTURA,2021,2023-06-26
